Brands,Models,registration_year,insurance_validity,fuel_type,seats,kms_driven,ownsership,transmission,manufacturing_year,mileage(kmpl),engine(cc),max_power(bhp),price(in lakhs)
Audi,A6 45 TFSI Technology WO Matrix BSVI,2021,Third Party insurance,Petrol,5,30000,First Owner,Automatic,2021,14.11,1984.0,1984.0,49.5
Ford,Ecosport 1.5 Diesel Titanium,2018,Comprehensive,Diesel,5,64000,First Owner,Manual,2018,21.7,1498.0,1498.0,7.99
Mercedes-Benz,B Class B180 Sports,2013,Comprehensive,Petrol,5,26000,Second Owner,Automatic,2013,11.9,1595.0,1595.0,12.45
Ford,Ecosport 1.5 Petrol Titanium AT,2016,Comprehensive,Petrol,5,60000,First Owner,Automatic,2016,14.7,1496.0,1496.0,6.49
Land,Rover Discovery Sport Petrol HSE 7S,2018,Comprehensive,Petrol,7,72000,Second Owner,Automatic,2018,12.81,1997.0,1997.0,49.5
Maruti,Swift Dzire 1.2 Vxi BSIV,2011,Comprehensive,Petrol,5,89002,First Owner,Manual,2011,17.5,1197.0,1197.0,2.37
Maruti,Baleno 1.2 Alpha,2018,Comprehensive,Petrol,5,36937,First Owner,Manual,2018,21.4,1197.0,1197.0,6.4
Toyota,Innova Crysta 2.4 VX MT,2019,Third Party insurance,Diesel,7,42000,First Owner,Manual,2019,13.68,2393.0,2393.0,18.75
BMW,5 Series 520d Luxury Line,2019,Comprehensive,Diesel,5,55000,First Owner,Automatic,2019,20.37,1995.0,1995.0,41.5
Maruti,Baleno Delta,2019,Comprehensive,Petrol,5,70391,Second Owner,Manual,2019,21.01,1197.0,1197.0,5.12
Hyundai,Elantra SX,2014,Third Party insurance,Petrol,5,56000,First Owner,Manual,2014,16.3,1797.0,1797.0,4.95
Hyundai,Grand i10 Sportz,2016,Comprehensive,Petrol,5,52190,First Owner,Manual,2016,18.9,1197.0,1197.0,4.31
Mercedes-Benz,C-Class C 220 CDI Grand Edition,2014,Third Party insurance,Diesel,5,40000,First Owner,Automatic,2014,11.78,2143.0,2143.0,9.99
Audi,A3 35 TDI Premium Plus,2018,Comprehensive,Diesel,5,72000,First Owner,Automatic,2018,20.38,1968.0,1968.0,20.0
BMW,3 Series 320i Touring,2012,Third Party insurance,Petrol,5,110000,Second Owner,Automatic,2012,12.05,1995.0,1995.0,7.3
Honda,City V MT,2012,Third Party insurance,Petrol,5,50000,First Owner,Manual,2012,16.8,1497.0,1497.0,3.39
Mercedes-Benz,CLA Urban Sport 200d,2019,Third Party insurance,Diesel,5,44132,Second Owner,Automatic,2019,17.9,2143.0,2143.0,26.9
Honda,City i VTEC VX,2015,Third Party insurance,Petrol,5,90000,Third Owner,Manual,2015,17.4,1497.0,1497.0,4.75
Ford,Endeavour Titanium Plus 4X4 AT,2020,Comprehensive,Diesel,7,49000,First Owner,Automatic,2020,12.4,1996.0,1996.0,33.5
Hyundai,Venue SX Turbo,2019,Comprehensive,Petrol,5,28194,First Owner,Manual,2019,18.27,998.0,998.0,9.03
BMW,5 Series 530i M Sport,2019,Comprehensive,Petrol,5,34500,First Owner,Automatic,2019,15.01,1998.0,1998.0,52.0
